Warning: Identity file /Users/briandillmann/.ssh/google_compute_engine not accessible: Operation not permitted.
Warning: Permanently added '34.148.248.120' (ED25519) to the list of known hosts.
Cloning into 'goodhistogram'...
=== worker: x86_64, 24 cores, go version go1.25.5 linux/amd64 ===
goos: linux
goarch: amd64
pkg: github.com/cockroachdb/goodhistogram
cpu: Intel(R) Xeon(R) CPU @ 2.80GHz
BenchmarkMinMaxSingleThread/order=steady/record-24         	57448276	        20.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-24         	57301809	        20.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-24         	57529870	        20.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-24         	57247857	        20.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-24         	57421759	        20.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-24         	57189184	        20.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-24         	57138955	        20.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-24         	57053180	        20.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-24  	51920971	        22.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-24  	52084372	        22.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-24  	52039462	        23.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-24  	52040611	        22.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-24  	51807927	        23.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-24  	52067556	        23.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-24  	51948661	        22.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-24  	51991257	        23.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-24  	52607277	        22.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-24  	52605135	        22.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-24  	51728493	        22.71 ns/op	       0 B/op	       0 allocs/op
