goos: darwin
goarch: arm64
pkg: github.com/cockroachdb/goodhistogram
cpu: Apple M3 Pro
BenchmarkMinMaxSingleThread/order=steady/record-11         	436528590	         2.774 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-11         	433542782	         2.765 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-11         	426445167	         2.742 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-11         	442759701	         2.742 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-11         	433949691	         2.756 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-11         	441503200	         2.808 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-11         	423816111	         2.743 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-11         	435924606	         2.746 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-11  	353757984	         3.407 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-11  	347231138	         3.445 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-11  	356552272	         3.435 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-11  	339466197	         3.422 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-11  	347367042	         3.467 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-11  	355728588	         3.482 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-11  	259282376	         4.053 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-11  	327183049	         3.501 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-11  	342347412	         3.422 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-11  	352365343	         3.696 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-11  	350025412	         3.424 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-11  	338669295	         3.379 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-11  	352043894	         3.451 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-11  	321886360	         3.490 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-11  	330836740	         3.440 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-11  	354012628	         3.911 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-11      	445500651	         2.682 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-11      	440147637	         2.821 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-11      	443136848	         2.692 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-11      	445647002	         2.688 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-11      	436502126	         2.773 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-11      	449570028	         2.685 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-11      	447644271	         2.676 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-11      	453721365	         2.888 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-minmax-11         	299895723	         3.534 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-minmax-11         	337894081	         3.493 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-minmax-11         	350095704	         3.469 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-minmax-11         	340989050	         3.457 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-minmax-11         	350129966	         3.482 ns/op	       0 B/op	       0 allocs/op
