go: downloading github.com/prometheus/client_golang v1.23.2
go: downloading github.com/prometheus/client_model v0.6.2
go: downloading github.com/stretchr/testify v1.11.1
go: downloading google.golang.org/protobuf v1.36.8
go: downloading github.com/davecgh/go-spew v1.1.1
go: downloading github.com/pmezard/go-difflib v1.0.0
go: downloading gopkg.in/yaml.v3 v3.0.1
go: downloading github.com/prometheus/common v0.66.1
go: downloading github.com/beorn7/perks v1.0.1
go: downloading github.com/cespare/xxhash/v2 v2.3.0
go: downloading github.com/prometheus/procfs v0.16.1
go: downloading github.com/munnerz/goautoneg v0.0.0-20191010083416-a7dc8b61c822
go: downloading go.yaml.in/yaml/v2 v2.4.2
go: downloading golang.org/x/sys v0.35.0
goos: linux
goarch: arm64
pkg: github.com/cockroachdb/goodhistogram
BenchmarkMinMaxSingleThread/order=steady/record-8         	89521854	        13.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-8         	89424987	        13.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-8         	89879911	        13.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-8         	89547506	        13.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-8         	89067895	        13.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-8         	89465250	        13.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-8         	88802664	        13.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-8         	88975965	        13.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-8  	79164309	        15.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-8  	79579681	        15.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-8  	78639916	        15.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-8  	79678380	        15.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-8  	79128390	        15.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-8  	79934415	        15.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-8  	78836442	        15.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-minmax-8  	79815115	        15.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-8  	79208202	        14.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-8  	80003701	        15.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-8  	78410943	        15.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-8  	79103983	        14.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-8  	79819782	        14.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-8  	79346044	        15.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-8  	78480276	        14.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=steady/record-padded-8  	78833546	        15.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-8      	90951616	        13.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-8      	89670362	        13.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-8      	89976146	        13.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-8      	88537179	        13.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-8      	91082229	        13.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-8      	89622144	        13.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-8      	90602223	        13.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-8      	89845186	        13.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-minmax-8         	76521700	        14.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-minmax-8         	76774518	        15.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-minmax-8         	75824659	        14.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-minmax-8         	76708362	        15.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-minmax-8         	76811670	        14.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-minmax-8         	76293624	        15.10 ns/op	       0 B/op	       0 allocs/op
